Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
Grupo de Estudos e Pesquisa em Engenharia Didática (GEPED),CEFET/MG,Juliane Ferraz Oliveira,Adriana dos Santos Sales,Educação
"Grupo de Estudos e Pesquisa em Linguagem, Inclusão e Ensino - GEPLIE",UFR,Antonio Henrique Coutelo de Moraes,,Lingüística
Grupo de Estudos e Pesquisa em Treinamento de Força na Saúde e Condicionamento Físico (GEPEF),UEMG,Lucas Túlio de Lacerda,Diego de Alcantara Borba,Educação Física
Grupo de Estudos e Pesquisa para desenvolvimento do SGBA - Sistema de Gestão de Bancos de Alimentos,FUMEC,Josiane da Costa Vieira Rezende,,Ciência da Computação
Grupo de Estudos e Pesquisa sobre Ontologia do Pensamento Social - GEPOPS,UFMA,John Kennedy Ferreira,,Sociologia
Grupo de estudos e pesquisa: História sócio cultural e educação -GEPHCE,UFMS,Maria Neusa Gonçalves Gomes de Souza,,História
Grupo de Estudos e Pesquisas das Dinâmicas Agrárias do Cerrado,UFJ,Evandro César Clemente,Raphael Fernando Diniz,Geografia
"Grupo de Estudos e Pesquisas em Educação, Políticas e Currículos pós críticos. GEPEP",UFSB,Eliana Povoas Pereira Estrela Brito,,Educação
Grupo de Estudos e Pesquisas em Tecnologias Digitais e Formação Docente - GEPETEC UNIRIO,UNIRIO,Tarliz Liao,Andréa Thees,Educação
Grupo de Estudos e Pesquisas sobre Educação Profissional e Tecnológica - GEPEPT,IFAL,Jarbas Mauricio Gomes,Adalberon Moreira de Lima Filho,Educação
Grupo de Estudos e Pesquisas sobre Formaço e Atuação Docente em Ciências Naturais,UTFPR,João Amadeus Pereira Alves,Silmara Alessi Guebur Roehrig,Educação
GRUPO DE ESTUDOS E PESQUISAS SOBRE O BRINCAR -GEPBRINC,UNEB,Márcia Tereza Fonseca Almeida,Jocenildes Zacarias Santos,Educação
Grupo de Estudos e Pesquisas sobre Sujeitos que Aprendem e Ensinam Ciências,UFPA,José Moysés Alves,Andrela Garibaldi Loureiro Parente,Educação
Grupo de Estudos e Práticas em Geografia e Ensino - GEPGEO,IFPA,Michele Kely Moraes Santos Souza,,Geografia
Grupo de Estudos Ecológicos Integrados,UTFPR,Igor de Paiva Affonso,Roberto Ferreira Artoni,Ecologia
Grupo de Estudos em Gastronomia da Amazônia - GEGAM,UFPE,Maria de Lourdes de Azevedo Barbosa,Salomão Alencar de Farias,Turismo
"Grupo de estudos em metabolismo, fisiologia e exercício físico (GEMFE)",UEMG,Camila Fernanda Costa e Cunha Moraes Brandão,Julio Sérgio Marchini,Educação Física
"Grupo de estudos em saúde da criança, adulto e mulher - GESCAM",UFS,Ana Dorcas de Melo Inagaki,Ana Cristina Freire Abud,Enfermagem
"Grupo de Estudos sobre Território, Cultura e Política - TECPO",UnB,Gloria Maria Vargas López de Mesa,,Geografia
Grupo de Gestão de Projetos Building Information Modeling - GPBIM,CEFET/MG,Daniela Matschulat Ely,,Engenharia Civil
GRUPO DE INVESTIGAÇÃO E APLICAÇÕES EM QUÍMICA (GIAQ),IFAL,Elisangela Costa Santos,Marina de Magalhães Silva,Química
Grupo de Pesquisa Avançada em Redes e Automação,IFCE,Rodrigo Carvalho Souza Costa,Sinara Socorro Duarte Rocha,Engenharia Elétrica
Grupo de Pesquisa em Alimentos Funcionais,UFMT,Maressa Caldeira Morzelle,,Nutrição
GRUPO DE PESQUISA EM DIREITO ECONÔMICO E CONCORRENCIAL GPEC/IDP,IDP,Flavio José Roman,Eric Hadmann Jasper,Direito
Grupo de Pesquisa em Doenças Otorrinolaringológicas e Plástica da Face,UFMG,Flávio Barbosa Nunes,Letícia Paiva Franco,Medicina
Grupo de Pesquisa em Educação e Diversidade na Amazônia - GEDAM,UFRA,Tatiana do Socorro Corrêa Pacheco,Hilda Rosa Moraes de Freitas Rosário,Educação
"Grupo de Pesquisa em Educação, Politecnia e Sociedade (GPEPS)",IFSP,Ivan Luis dos Santos,Thiago Silva Augusto da Fonseca,Educação
Grupo de Pesquisa em Energia e Meio Ambiente,UNIFESP,Eduardo Dellosso Penteado,Andrea Komesu,Engenharia Química
Grupo de Pesquisa em Engenharia de Produção e Gestão Aplicada em Desenvolvimento Sustentável,UFMS,Sérgio Paiva,,Engenharia de Produção
Grupo de pesquisa em Epidemiologia e Geoprocessamento do Araguaia (EpiGeo- Araguaia),UFMT,Josilene Dália Alves,Leonara Raddai Gunther de Campos,Saúde Coletiva
Grupo de Pesquisa em Esporte e Saúde,UFRGS,Giovani dos Santos Cunha,Gabriela Tomedi Leites,Educação Física
Grupo de Pesquisa em Estomaterapia,FHEMIG,Sandra Lyon,,Enfermagem
GRUPO DE PESQUISA EM INOVAÇÃO E DESENVOLVIMENTO DE PRODUTOS BIOTECNOLÓGICOS REGIONAIS,UEMA,Péricles Mendes Nunes,,Química
Grupo de Pesquisa em Instrumentação e Sistemas Inteligentes,UERJ,Jorge Luís Machado do Amaral,Gil Roberto Vieira Pinheiro,Engenharia Elétrica
"Grupo de Pesquisa em Linguagens, Culturas e Ensino do Ifbaiano LinCultE / Ifbaiano",IFBAIANO,Fernanda da Silva Machado,,Letras
Grupo de Pesquisa em Perinatologia,UFRGS,Maria Luzia Chollopetz da Cunha,Jéssica Teles Schlemmer,Enfermagem
Grupo de Pesquisa em Radiologia - Aplicações Médicas e Industriais (GRAMI),UTP,Alana Caroline França Fagundes,Maria Regina Franke Serratto,Medicina
Grupo de Pesquisa Estudos em Teoria Política (GETePol),UEL,Raquel Kritsch,André Luiz da Silva,Ciência Política
Grupo de Pesquisas em História da Matemática e Saberes Tradicionais - GHMat,IFES,Claudia Alessandra Costa de Araujo Lorenzoni,Lígia Arantes Sad,Educação
"Grupo de saúde, morfofisiologia e biotecnologia reprodutiva",UFERSA,Gerlane Modesto da Silva,,Fisiologia
Grupo ICTIOS - Inteligência Científica para estudos da Ictiofauna e Sistemas Aquáticos em Paisagens no Sul/Sudeste do Pará,UNIFESSPA,Keid Nolan Silva Sousa,,Ecologia
"Grupo Multidisciplinar de Pesquisas e Estudos Decoloniais de Linguagem, Gênero e Raça - DECOLGERA",IFPA,Priscilla Bezerra Barbosa,Ricardo Regis de Almeida,Educação
Grupo de Estudos e Pesquisas em Educação de Jovens e Adultos na Universidade,UNILA,Ana Paula Araújo Fonseca,Suellen Mayara Péres de Oliveira,Educação
História da Ásia - Relações e Interações,UFES,Emiliano Unzer Macedo,,História
"HOTELARIA, GASTRONOMIA E SERVIÇOS TURÍSTICOS",UNIVALI,Sara Joana Gadotti dos Anjos,,Turismo
IDENTIDADES CULTURAIS NAS ESCOLAS DE EDUCAÇÃO BÁSICA: itinerários construtivos,UERGS,Sandra Monteiro Lemos,,Educação
Identidades luso-brasileiras e conexão de mundos: história e representação no mundo lusófono,UFPEL,Larissa Patron Chaves,,História
Identificação de marcadores moleculares em câncer e nas doenças orais,UNIGRANRIO,Cláudia Maria Pereira,,Odontologia
Indicadores Econômicos e Sociais - Gurupi,IFTO,Francisco Viana Cruz,Autenir Carvalho de Rezende,Economia
InfoEduc - Informática na Educação,FURG,Regina Barwaldt,,Ciência da Computação
Informática Aplicada,IFNMG,Joselice Ferreira Lima,Danilo Magalhães Nunes,Ciência da Computação
Inovação e Tecnologias Aplicada à Educação,IFTO,Paula Jucá de Sousa,Sérgio Luis Melo Viroli,Educação
Inspiração - Grupo de pesquisa e fomento à inovação e empreendedorismo no campus Sete Lagoas / UFSJ,UFSJ,Leonardo Lucas Carnevalli Dias,Anderson Oliveira Latini,Agronomia
"Interdisciplinaridade, Capital Natural, Cidades e Desenvolvimento Sustentável no Antropoceno",UCS,Maria Carolina Rosa Gullo,Adir Ubaldo Rech,Direito
Intervenção fonoaudiológica e multidisciplinar nos diferentes ciclos de vida,UFS,Andréa Monteiro Correia Medeiros,Ricardo Queiroz Gurgel,Fonoaudiologia
INTRIG (Information & Networking Technologies Research & Innovation Group),UNICAMP,Christian Rodolfo Esteve Rothenberg,,Engenharia Elétrica
Jurimetria e Pesquisa Empírica em Direito - PROPED,UNIFOR,Mariana Dionísio de Andrade,,Direito
Kûara - Grupo de Estudos e Pesquisas em Educ(ações) e Re-existências,UFR,Eglen Silvia Pipi Rodrigues,Regina Aparecida da Silva,Educação
LABECA - LABORATÓRIO DE ESTUDOS EM CULTURA E ARTE,UNASP,Janaina Silva Xavier,,Artes
Laboratório de Ecologia e Evolução de Interações,UFPR,Sabrina Borges Lino Araujo,Karla Magalhães Campião,Ecologia
Laboratório de Estudos e Pesquisas em Cuidados Intensivos (LACIN),UNIPAMPA,Josefine Busanello,Cristiane Lima de Moraes,Enfermagem
Laboratório de Inovação Tecnológica em Psicologia (LIP),UFCG,Aline Venceslau Vieira de Lima,Roseane Christhina da Nova Sá Serafim,Psicologia
Laboratório de mecanização agrícola do pampa - LAMAP,UNIPAMPA,Vilnei de Oliveira Dias,,Engenharia Agrícola
"Laboratório de Psicolinguística, Línguas Minoritárias e Multilinguismo - LAPLIMM",UFPEL,Bernardo Kolling Limberger,,Lingüística
LegalLab: Núcleo de Gestão de Conflitos e Práticas Jurídicas,UNIARA,Leonel Cezar Rodrigues,,Direito
LEPTTO: Laboratório de Estudos e Práticas em Trabalho e Terapia Ocupacional,UnB,Daniela da Silva Rodrigues,,Fisioterapia e Terapia Ocupacional
LERER - Laboratório de Estudos em Relações Étnico- raciais,UFRJ,Fernanda Barros dos Santos,Vantuil Pereira,Ciência Política
"Limiares: Estudos de Literatura, Gênero e Interculturalidades",UFERSA,Larissa Costa da Mata,Micaela Sá da Silveira,Letras
"Língua, literatura, interfaces",UNICENTRO,Marcia Regina Pawlas Carazzai,Ana Raquel Fialho Ferreira Campos,Letras
Linguagem e Expressão do Design Urbano,UNOESC,Celso Luiz Podlasek,,Desenho Industrial
"Linguagem, Infância, EJA e Tecnologias da Informação e Comunicação- GELITIC",UNEB,Jocenildes Zacarias Santos,Rosemary Rufina dos Santos Perin,Educação
Literatura e Psicanálise - Transculturalidades Integrantes,Unifacvest,Fabio Eduardo Grünewald Soares,,Letras
Matemática Pura e Aplicada nas Engenharias,UFERSA,Antonio Gomes Nunes,Mariana de Brito Maia,Matemática
Materiais e tecnologia não-convencionais aplicadas a eco-construção.,UNIFESSPA,Carlos Maviael de Carvalho,,Engenharia Civil
"Materiais, caracterização, propriedades e processos de fabricação",IFSP,Marcilene Cristina Gomes,Cristina Sayuri Fukugauchi,Engenharia de Materiais e Metalúrgica
Memória e relações de poder,UEG,Edson Arantes Junior,Marcos Vinicius Ribeiro,História
Métodos Numéricos para Equações Diferenciais,USP,Pedro da Silva Peixoto,,Matemática
"Métricas, Indicadores e Estatística Aplicada para Inovação",UEM,Fabrízio Meller da Silva,,Administração
MNanomateriais - Materiais e nanomateriais,UFRB,Jania Betania Alves da Silva,Denilson de Jesus Assis,Engenharia Biomédica
Molecular Nutrition & Food Research,UERJ,Julio Beltrame Daleprane,,Nutrição
Nanociência e Nanotecnologia Aplicada ao Sensoriamento,UFSCAR,Marystela Ferreira,Marli Leite de Moraes,Química
