Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
Computação Gráfica e Aprendizagem de Máquina,UTFPR,Juliano Henrique Foleis,Diego Bertolini Gonçalves,Ciência da Computação
"Computação Gráfica, Processamento de Imagens e Interação",UFRGS,Carla Maria Dal Sasso Freitas,,Ciência da Computação
"Computação Gráfica, Processamento de Imagens e Visão Computacional",UTFPR,Ionildo José Sanches,Erikson Freitas de Morais,Ciência da Computação
Computação Integrada,IF-Catarinense,Luiz Ricardo Uriarte,,Ciência da Computação
Computação Interdisciplinar e Aplicada Alto Jacuí,IFRS,Edimar Manica,Luis Claudio Gubert,Ciência da Computação
Computação Musical,UFRGS,Eloi Fernando Fritsch,Evandro Manara Miletto,Artes
Computação Natural,UFPE,Aluizio Fausto Ribeiro Araújo,Guilherme de Alencar Barreto,Ciência da Computação
Computação Paralela e Distribuída,CEFET/RJ,Rafaelli de Carvalho Coutinho,,Ciência da Computação
Computação Quântica,UFRPE,Adenilton José da Silva,,Ciência da Computação
Computação Quântica,UFSM,Eduardo Kessler Piveta,Juliana Kaizer Vizzotto,Ciência da Computação
Computação Quântica e Petrofísica por RMN de Alto Campo,CBPF,Ivan dos Santos Oliveira Júnior,,Física
Computação Quântica e Sistemas de Informação Quânticos,FUMEC,Joao Victor Boechat Gomide,,Ciência da Computação
Computação Urbana e Social,UTFPR,Thiago Henrique Silva,,Ciência da Computação
Computação Visual,UNICAMP,José Mario De Martino,,Ciência da Computação
Computação Visual,INSPER,Luciano Pereira Soares,,Engenharia Elétrica
Computação Visual Aplicada,UNIOESTE,Claudio Roberto Marquetto Mauricio,Fabiana Frata Furlan Peres,Ciência da Computação
"COMPUTAÇÃO, PESQUISA E ENSINO DE QUÍMICA (COMPEQ)",IFPI,Ézio Raul Alves de Sá,,Química
Computation of Fluid Flow Engineering,UFMS,Johannes Gérson Janzen,,Engenharia Sanitária
Computational Bioacoustic Research Unit - CO.BRA,UFMT,Karl-Ludwig Schuchmann,Marinêz Isaac Marques,Ciência da Computação
Computational Intelligence Laboratory (CILab),UFERSA,Náthalee Cavalcanti de Almeida Lima,Rosana Cibely Batista Rego,Ciência da Computação
Computer Modeling of Molecular Biosystems (CompMBio),UFPA,José Rogério de Araújo Silva,Jeronimo Lameira Silva,Química
"COMSAUD - Núcleo de Estudo, Pesquisa e Extensão em Saúde do Adulto, Trabalho e Comunicação",UFPEL,Clarice Alves Bonow,,Enfermagem
COMSIA - Divisão de Softwares e Metodologias de Desenvolvimento de Sistemas,UEMG,Vânia de Oliveira Borges,,Ciência da Computação
"COMTEC - GRUPO DE PESQUISA EM COMUNICAÇÃO, TERRITORIALIDADES E CULTURAS",UCSAL,Velda Gama Alves Torres,Alfons Heinrich Altmicks,Comunicação
COMUM - Comunidade de Estudos de Teoria e História da Historiografia da UERJ,UERJ,Daniel Pinha Silva,Amanda Danelli Costa,História
"COMUM - Grupo de Pesquisa e Extensão em Comunicação, Mídia e Narrativas de Mudança Cultural",UFRB,Jussara Peixoto Maia,Daniela Abreu Matos,Comunicação
Comunica - inscrições linguísticas na comunicação,UFSCAR,Luciana Salazar Salgado,José de Souza Muniz Júnior,Lingüística
Comunicação Alternativa e Tecnologia Assistiva na Aprendizagem em Contextos diversos (CATAAC),UFRN,Débora Deliberato,Maria de Jesus Gonçalves,Educação
Comunicação Celular,FIOCRUZ,Luiz Anastacio Alves,,Imunologia
Comunicacao cientifica,UnB,Jayme Leiro Vilan Filho,João de Melo Maricato,Ciência da Informação
Comunicação Comunitária e Cidadania,UnB,Fernando Oliveira Paulino,,Comunicação
Comunicação Cultura e Desenvolvimento,UEPB,Luiz Custódio da Silva,Cidoval Morais de Sousa,Comunicação
Comunicação da Ciência: estudos linguísticos e tecnodiscursivos,UNISINOS,Maria Eduarda Giering,,Lingüística
Comunicação Digital Avançada,MACKENZIE,Cristiano Akamine,Edson Tafeli Carneiro dos Santos,Engenharia Elétrica
"Comunicação do banco central, da autoridade fiscal e de instituições econômicas",UCP,Rodolfo Tomás da Fonseca Nicolay,,Economia
Comunicação e Adesão Celular,UNICAMP,Carla Beatriz Collares Buzato,,Morfologia
Comunicação e Afetividade em Educação e Saúde,UniCEUB,Melo Francislete Rodrigues,,Educação
Comunicação e cidadania,UFAL,Sandra Nunes Leite,Luiz Marcelo Robalinho Ferraz,Comunicação
Comunicação e Consumo,UFES,Flavia Mayer dos Santos Souza,Maria Nazareth Bis Pirola,Comunicação
Comunicação e Cultura do Ouvir,FCL,José Eugenio de Oliveira Menezes,,Comunicação
Comunicação e cultura nas plataformas digitais,UNIP,Carla Montuori Fernandes,,Comunicação
Comunicação e Cultura: Narrativas Midiáticas (Nami),UNISO,Míriam Cristina Carlos Silva,Monica Martinez,Comunicação
Comunicação e desenvolvimento,UFSM,Jaqueline Quincozes da Silva Kegler,Carlise Porto Schneider Rudnicki,Comunicação
Comunicação e Divulgação Científicas,IBICT,Lena Vania Ribeiro Pinheiro,Eloísa da Conceição Príncipe de Oliveira,Ciência da Informação
Comunicação e Economia Criativa,UCB/DF,Robson Borges Dias,,Comunicação
Comunicação e Educação,UFMS,Rose Mara Pinheiro,,Comunicação
Comunicação e Educação Midiática,UFMS,Laura Seligman,,Comunicação
Comunicação e Equidade,UEMG,Marcela Fernanda da Paz de Souza,Fernando Ringel,Comunicação
Comunicação e Imaginação Literária - Grupo Siruiz,UnB,Gustavo de Castro da Silva,Danielle Naves de Oliveira,Comunicação
Comunicação e Imaginação Social (Imagicom),UEL,André Azevedo da Fonseca,,Comunicação
Comunicação e Informação Científica em Saúde Pública,USP,Angela Maria Belloni Cuenca,Ivan França Junior,Ciência da Informação
COMUNICAÇÃO E INTERFACES SOCIOCULTURAIS,UNICENTRO,Éverly Pegoraro,Fernanda Pacheco de Moraes,Comunicação
Comunicação e letramentos digitais,USJT,Maria Bernardete Toneto,,Comunicação
Comunicação e Linguagem,UFPE,Isaltina Maria de Azevedo Mello Gomes,Yvana Carla Fechine de Brito,Comunicação
Comunicação e Mídias Digitais,UEMG,Carlos Renan Samuel Sanchotene,,Ciência da Informação
Comunicação e Multimeios,UEM,Tiago Franklin Rodrigues Lucena,,Comunicação
Comunicação e participação política,UFPR,Kelly Cristina de Souza Prudencio,Carla Candida Rizzotto,Comunicação
Comunicação e Práticas Culturais,UFRGS,Elisa Reinhardt Piedras,Laura Hastenpflug Wottrich Cougo,Comunicação
Comunicação e Processos de Significação,UnP,Manoel Pereira da Rocha Neto,Ricardo Yamashita Santos,Comunicação
Comunicação e relação interpessoal em saúde,UFRN,Simone da Nóbrega Tomaz Moreira,,Medicina
Comunicação e Relação Interpessoal em Saúde,UFRN,Simone da Nóbrega Tomaz Moreira,,Medicina
Comunicação e Saúde,FIOCRUZ,Inesita Soares de Araújo,Katia Lerner,Comunicação
Comunicação e Saúde,FIOCRUZ,Inesita Soares de Araújo,Katia Lerner,Comunicação
Comunicação e Sociologia do Jornalismo,UERN,José Ricardo da Silveira,,Comunicação
COMUNICAÇÃO E TECNOLOGIAS CONTEMPORÂNEAS,UNITINS,Darlene Teixeira Castro,,Comunicação
Comunicação e Tecnologias Digitais nos Processos de Ensino e Aprendizagem com atividades EAD,UFN,Fabrício Tonetto Londero,Amanda Rampelotto Löbler,Educação
Comunicação Eleitoral,UFPR,Luciana Panke,Aryovaldo de Castro Azevedo Junior,Comunicação
Comunicação em Emergência e Desastres,UniCEUB,Mônica Igreja do Prado,,Comunicação
Comunicação em Enfermagem Hospitalar Cliente de Alta Complexidade (CEHCAC),UFRJ,Sílvia Teresa Carvalho de Araujo,Priscila Brigolini Porfírio Ferreira,Enfermagem
"Comunicação em rede, identidades e cidadania",UFSM,Liliane Dutra Brignol,,Comunicação
"COMUNICAÇÃO ESTRATÉGICA, DISCURSO E NOVAS TECNOLOGIAS",UERN,Jefferson Garrido de Araújo Neto,Heitor Pinheiro de Rezende,Comunicação
Comunicação Extensiva e Produção em AV3,UnB,Elmira Luzia Melo Soares Simeão,Aurora Cuevas Cerveró,Ciência da Informação
Comunicação humana e cognição,UnB,Letícia Corrêa Celeste,Vanessa de Oliveira Martins-Reis,Fonoaudiologia
COMUNICAÇÃO HUMANA E FUNÇÕES OROFACIAIS,UnB,Laura Davison Mangilli Toni,Vanessa Veis Ribeiro,Fonoaudiologia
Comunicação Humana na Saúde da Criança e do Adolescente,UNCISAL,Luzia Miscow da Cruz Payão,,Fonoaudiologia
Comunicação Institucional e Pública.,UFMA,Sílvio Rogério Rocha de Castro,Esnél José Fagundes,Comunicação
Comunicação Internacional e suas interfaces com a Cultura e o Poder nas Organizações,UFSM,Lana D'Ávila Campanella,Karen Cristina Kraemer Abreu,Comunicação
Comunicação Midiática e Movimentos Sociais - ComMov,UNESP,Caroline Kraus Luvizotto,Alana Nogueira Volpato,Comunicação
Comunicação na Câmara dos Deputados: perspectivas após 20 anos de mídias,CÂMARA FEDERAL,Cláudia Regina Fonseca Lemos,Verônica Lima Nogueira da Silva,Comunicação
"Comunicação na Era Digital: Cultura, Estética e Linguagem",UNIMEP,Belarmino Cesar Guimarães da Costa,,Comunicação
Comunicação Neuronal,UFMG,Cristina Guatimosim Fonseca,,Morfologia
Comunicação Organizacional e Mídia,UFMA,José Ribamar Ferreira Junior,Luciana Saraiva de Oliveira Jerônimo,Comunicação
Comunicação para o Desenvolvimento,UNIFESSPA,Elaine Javorski Souza,,Comunicação
Comunicação para o Desenvolvimento e Opinião Pública (Mob-Com),UMESP,Camila Escudero,,Comunicação
Comunicação Política e Democracia Digital (COMPADD),UFPR,Rafael Cardoso Sampaio,,Ciência Política
"Comunicação Política, Partidos e Eleições",UFSCAR,Fernando Antonio Farias de Azevedo,Gleidylucy Oliveira da Silva,Ciência Política
Comunicação Pública da Ciência e Interfaces,UFSM,Cristina Marques Gomes,Manuel Ramón González Herrera,Comunicação
Comunicação Quântica,CEFET/RJ,João Terêncio Dias,Demerson Nunes Gonçalves,Engenharia Elétrica
Comunicação Química e Olfação em Insetos,UFRJ,Ana Claudia do Amaral Melo,,Biologia Geral
Comunicação Social : Estudos Interdisciplinares,UFAM,Maria Emilia de Oliveira Pereira Abbud,,Comunicação
"Comunicação urbana, consumo e eventos",UERJ,Ricardo Ferreira Freitas,,Comunicação
"Comunicação, Arte e Literacia Midiática",UFJF,Gabriela Borges Martins Caravela,Leticia Barbosa Torres Americano,Comunicação
"Comunicação, Arte e Redes Sociotécnicas",UERJ,Fernando do Nascimento Gonçalves,,Comunicação
"Comunicação, Cidade e Memória",UFJF,Christina Ferraz Musse,Talita Souza Magnolo,Comunicação
"Comunicação, consumo e arte",ESPM,João Luís Anzanello Carrascoza,,Comunicação
"Comunicação, Consumo e Espacialidades: Práticas Persuasivas em Ambientes Mercadológicos.",UTP,Fabio Luiz Witzki,,Comunicação
"Comunicação, Consumo e Identidade - Consia",UFPA,Manuela do Corral Vieira,,Comunicação
"COMUNICAÇÃO, CONSUMO e IDENTIDADES SÓCIO-CULTURAIS - CICO",ESPM,Marcia Perencin Tondato,Simone Antoniaci Tuzzo,Comunicação
"Comunicação, Consumo e Subejtividade",UCP,Raquel Lobão Evangelista,,Comunicação
"Comunicação, Cultura e Amazônia",UFAM,Allan Soljenitsin Barreto Rodrigues,Cristiane de Lima Barbosa,Comunicação
"Comunicação, Cultura e Conhecimento",UNIVALI,Hans Peder Behling,Marcelo Juchem,Comunicação
"Comunicação, Cultura e Consumo Digitais (c3dig)",FEEVALE,Sandra Portella Montardo,,Comunicação
"Comunicação, cultura e discurso",UFES,Ruth de Cássia dos Reis,,Comunicação
"Comunicação, Cultura e Mídia - COMÍDIA",UFRN,Daniel Dantas Lemos,Adriano Lopes Gomes,Comunicação
"Comunicação, Cultura e Sociedade",UNEMAT,Lawrenberg Advíncula da Silva,,Comunicação
"Comunicação, Cultura e Visualidades",FCL,Simonetta Persichetti,Deysi Oliveira Cioccari,Comunicação
"Comunicação, Cultura, Tecnologias e Modos de Subjetivação",UFPEL,Rosária Ilgenfritz Sperotto,Maria Simone Debacco,Educação
"Comunicação, Design e Tecnologias Digitais",UNIFESP,Edna de Mello Silva,Leandro Key Higuchi Yanaze,Comunicação
"Comunicação, Direitos e Igualdade (CODIG)",UFT,Cynthia Mara Miranda,Alice Agnes Spíndola Mota,Comunicação
"Comunicação, discursos e biopolíticas do consumo",ESPM,Tania Marcia Cezar Hoff,,Comunicação
"Comunicação, Economia Política e Sociedade (OBSCOM/CEPOS)",UFS,César Ricardo Siqueira Bolaño,Verlane Aragão Santos,Comunicação
"Comunicação, Educação e Sociedade",UNIT,Ronaldo Nunes Linhares,Valéria Pinto Freire,Comunicação
"Comunicação, Educação, Mobilização Social e Acesso à Informação",UnB,Fernando Oliveira Paulino,,Comunicação
"Comunicação, Estratégias e Tecnologias",UNIVILLE,Henrique Budal Arins,,Comunicação
"Comunicação, gênero e desigualdades",UFSM,Milena Carvalho Bezerra Freire de Oliveira-Cruz,Kalliandra Quevedo Conrad,Comunicação
"Comunicação, Identidade e Cidadania",UFJF,Telma Sueli Pinto Johnson,Luiz Ademir de Oliveira,Comunicação
"Comunicação, identidades e fronteiras",UFSM,Ada Cristina Machado Silveira,Edileuson Santos Almeida,Comunicação
"Comunicaçao, Imagem e Afeto",UFES,Erly Milton Vieira Junior,Gabriela Santos Alves,Comunicação
"Comunicação, Imagem e Contemporaneidade",UTP,Denize Correa Araujo,,Comunicação
"Comunicação, Imagem e Identidade",FEEVALE,Denise Blanco Sant'Anna,,Comunicação
"Comunicação, Informação e Gestão",UNESP,Tamara de Souza Brandão Guaraldo,Maria Eugênia Porém,Comunicação
"Comunicação, Internet e Democracia",UFBA,Wilson da Silva Gomes,,Comunicação
"Comunicação, Linguagens e Jornalismo Especializado",UFAL,Magnolia Rejane Andrade dos Santos,,Comunicação
"Comunicação, Linguística Aplicada e Semiótica na Saúde - CLASS",OCC,Glaucio Aranha Barros,Alfred Sholl Franco,Comunicação
"Comunicação, Literacia Digital e Consumo",ESPM,Egle Müller Spinelli,,Comunicação
"Comunicação, Lúdico e Cognição",UERJ,Fátima Cristina Regis Martins de Oliveira,Fernando do Nascimento Gonçalves,Comunicação
"Comunicação, mediações e comunicação",UNIVILLE,Silvio Simão de Matos,,Comunicação
"Comunicação, Memória e Cultura Popular",UEPB,Ingrid Farias Fechine,,Comunicação
"Comunicação, Mídia e Sociedade",UNOESC,Silvia Spagnol Simi dos Santos,Marcio Giusti Trevisol,Comunicação
"COMUNICAÇÃO, MÍDIA E SOCIEDADE",UNISAGRADO,Nirave Reigota Caram,Jéssica de Cássia Rossi,Comunicação
"Comunicação, mudanças sociais e direitos - COMUDI",UFRPE,Giuseppa Maria Daniel Spenillo,,Sociologia
"Comunicação, Política e Redes Midiáticas",UFBA,Othon Jambeiro,,Comunicação
"Comunicação, Processamento e Análise da Informação",UFRN,João Paulo de Souza Medeiros,João Batista Borges Neto,Ciência da Computação
"Comunicação, Redes, Políticas de Informação",UFRJ,Gustavo Henrique de Araújo Freire,,Ciência da Informação
"Comunicação, Redes, Políticas e Regime de Informação",UFRJ,Gustavo Henrique de Araújo Freire,,Ciência da Informação
"Comunicação, Saúde e Educação",UNESP,Antonio de Padua Pithon Cyrino,Eliana Goldfarb Cyrino,Saúde Coletiva
"Comunicação, Sociedade e Meio Ambiente",UFT,Marluce Evangelista Carvalho Zacariotti,Valquíria Guimarães da Silva,Comunicação
"Comunicação, Sociedade e Mídia Digital",FGV,Eurico Oliveira Matos Neto,Marco Aurélio Ruediger,Comunicação
"Comunicação, tecnologia e o papel social das organizações no eixo da gestão.",UniCEUB,Elda Alves Oliveira Ivo,Murilo Silva Rezende,Divulgação Científica
"Comunicação, Tecnologia e Sociedade",UNINTER,Guilherme Gonçalves de Carvalho,Mônica Cristine Fort,Comunicação
"Comunicação, Tecnologias e Multimídias para a Educação",UFPB,Signe Dayse Castro de Melo e Silva,Luís Augusto de Carvalho Mendes,Educação
Comunicações,UFCG,Marcelo Sampaio de Alencar,Waslon Terllizzie Araújo Lopes,Engenharia Elétrica
Comunicações Ópticas - CPQD,CPqD,Rafael Carvalho Figueiredo,Tiago Sutili,Engenharia Elétrica
COMUNICAL,IFRN,Rafaela Bernardazzi Torrens Leite,Vanessa Paula Trigueiro Moura,Comunicação
ComunicArte,UFSM,Lenisa Brandão,,Fonoaudiologia
Comunidade de Aprendizagem da UFCG - CAU - UFCG,UFCG,Edjane Esmerina Dias da Silva,,Divulgação Científica
Comunidade de estudos estéticos e musicológicos,UFPB,Rainer Câmara Patriota,Gilfranco Lucena dos Santos,Filosofia
Comunidade de Nematóides em Sistemas Agrícolas: diversidade e manejo,UEL,Débora Cristina Santiago,,Agronomia
"Comunidade de Pesquisa em Narrativas Autobiográficas, Estudos da Linguagem e Pedagogias Emergentes (COM)",UFRPE,Alexsandro dos Santos Machado,Rafael Arenhaldt,Educação
Comunidade Ginástica de Goiás (COGINGO),UFG,Taiza Daniela Seron,,Educação Física
"Comunidade Interdisciplinar de Ação, Pesquisa e Aprendizagem - CIAPA",UFPE,Danielle de Melo Rocha,Fabiano Rocha Diniz,Planejamento Urbano e Regional
Comunidade Internacional de Estudos em Direito Digital,UFU,Ricardo Padovini Pleti Ferreira,,Direito
Comunidade microbiana do solo submetido à contaminação química.,UFU,Lucas Carvalho Basilio de Azevedo,,Agronomia
Comunidade Mosaico (COM),IFSP,Carlos Fernando Barboza da Silva,,Educação
Comunidades Bentônicas,UFAL,Hilda Helena Sovierzoski,,Oceanografia
"Comunidades de Prática, Organização do Conhecimento e Inovação",UNIRIO,Miriam Gontijo de Moraes,Márcia Feijão de Figueiredo,Ciência da Informação
Comunidades e Museologias/COMUSES,UFS,Ana Karina Calmon de Oliveira Rocha,,Museologia
Comunidades e(m) Autonomia no Sul da Bahia,UFSB,Spensy Kmitta Pimentel,Paulo Dimas Rocha de Menezes,Antropologia
Comunidades Remanescentes Quilombolas na contemporaneidade.,ULBRA,Diego Willian Nascimento Machado,,Arquitetura e Urbanismo
Comunidades Rurais Sustentáveis,UESC,Fábio dos Santos Massena,,Ciências Ambientais
Comunidades Virtuais - IF Baiano,IFBAIANO,Helyom Rogerio Reis Viana da Silva Teles,Janaína dos Reis Rosado,Educação
Comunidades Virtuais - UNEB,UNEB,Suiane Costa Ferreira,Carolina Pedroza de Carvalho Garcia,Comunicação
Comunidades Virtuais UFAL,UFAL,Fernando Silvio Cavalcante Pimentel,,Educação
Comunidades Virtuais UFBA,UFBA,Lynn Rosalina Gama Alves,David Santana Lopes,Comunicação
Comunidata,PUC/SP,Pollyana Ferrari Teixeira,Cristiano Franco Burmester,Educação
"COMUNIME - Comunicação, identidades e memória",UFRB,Hérica Lene Oliveira Brito,Alissandro Lucas da Conceição Lima,Comunicação
COMUS - Grupo de pesquisa em composição musical da UFJF,UFJF,Luiz Eduardo Castelões Pereira da Silva,,Artes
"CONAC - Grupo de Pesquisa em Composição Poética Cênica, Narratividade e Construção de Conhecimento",UFT,Juliano Casimiro de Camargo Sampaio,,Artes
CONAPRES - Constitucionalismo e Aprendizagem Social,UFMG,David Francisco Lopes Gomes,,Direito
"CONATUS - Laboratório de pesquisa sobre Corpos, Naturezas e Sentidos",UFF,Olivia von der Weid,,Antropologia
Conceito Engenharia,UDESC,Rogério Simões,,Engenharia Civil
Conceitos Ecológicos e Etnoecológicos Aplicados a Conservação da Água e da Biodiversidade do Pantanal,UNEMAT,Carolina Joana da Silva,Solange Kimie Ikeda Castrillon,Ecologia
Conceitos Fundamentais na Filosofia de Tomás de Aquino,USP,Luiz Jean Lauand,,Filosofia
Concepção de Circuitos Integrados,UFRGS,Ricardo Augusto da Luz Reis,Sergio Bampi,Microeletrônica
Concepção e Desenvolvimento de Produtos e Sistemas,PUC/PR,Osiris Canciglieri Junior,Guilherme Brittes Benitez,Engenharia de Produção
"Concepção, Logística e Gestão de Sistemas Produtivos",PUC/PR,Elpidio Oscar Benitez Nara,Jones Luís Schaefer,Engenharia de Produção
Concepções Contemporâneas em Dança - CCODA,UFMG,Isabel Cristina Vieira Coimbra Diniz,Olga Valeska Soares Coelho,Artes
CONCEPÇÕES E FUNDAMENTOS DE DEMOCRACIA E DEMOCRATIZAÇÃO DA GESTÃO ESCOLAR ESCOLAR,UFPA,Dinair Leal da Hora,,Educação
Concepções e Políticas da Educação Profissional e Tecnológica,CEETEPS,Emerson Freire,Sueli Soares dos Santos Batista,Educação
Concepções teóricas do cuidar em saúde e enfermagem,UERJ,Frances Valéria Costa e Silva,Luciana Guimaraes Assad,Enfermagem
Concretização de direitos trabalhistas e previdenciários,ITE,Fábio Alexandre Coelho,,Direito
Concreto de Alto Desempenho,UNIVEL,Thiago Guerra,Douglas Guedes Batista Torres,Engenharia Civil
"Concreto, argamassa, artefatos de cimento e material reciclado",IFMT,Juzélia Santos,,Engenharia Civil
Concretos convencionais e especiais,UFRGS,Denise Carpena Coitinho Dal Molin,,Engenharia Civil
Concretos especiais - CONCREPAM,UNIPAM,Sheilla Pereira Vieira,,Engenharia Civil
Concretos especiais para pavimentação urbana,USJT,Renan Pícolo Salvador,,Engenharia Civil
ConCu - Conversas com currículos nos cotidianos das universidadescolas,UNIRIO,Maria Luiza Süssekind Verissimo Cinelli,Fábio André Diniz Merladet,Educação
Condições de saúde e nutrição,UERJ,Rosely Sichieri,Claudia de Souza Lopes,Saúde Coletiva
Condições de Trabalho e Saúde,UNCISAL,Cristiane Cunha Soderini Ferracciu,,Fonoaudiologia
Condições de vida e saúde de populações,UNESP,Margareth Aparecida Santini de Almeida,Dinair Ferreira Machado,Saúde Coletiva
Condições de vida e situação de saúde,ISaúde,Lígia Rivero Pupo,Renato Barboza,Saúde Coletiva
Conect2ai,UFRN,Ivanovitch Medeiros Dantas da Silva,,Engenharia Elétrica
CONECTA - Comunicação e Experimentação Criativa,UFSM,Sandra Dalcul Depexe,Leandro Stevens,Comunicação
Conecta: Ciência & Tecnologia,UNIPAMPA,Michel Mansur Machado,,Educação
"Conectando Ciência, Inovação e Inteligência Artificial: construção de um modelo de cidade inteligente mitigador de impactos ambientais através da compostagem de resíduos orgânicos",UVA/RJ,Anderson Amendoeira Namen,,Ciência da Computação
"Conectando mundos, repensando relações",UNIOESTE,Paulo Henrique Barbosa Dias,,Antropologia
ConecTAR - Estudos e Pesquisas em Ensino de Ciências e Biologia,UFOP,Fábio Augusto Rodrigues e Silva,,Educação
CONECTE,CEFET/MG,Tulio Charles de Oliveira Carvalho,Joel Augusto dos Santos,Engenharia Elétrica
Conectinova Pesquisa,UEM,Keila de Souza Silva,,Ciência e Tecnologia de Alimentos
CONECTIVIDADE,UCS,Eliana Rela,Terciane Ângela Luchese,História
Conectividades - Laboratório de Estudos de Parentesco e de Família,UFRRJ,Alessandra de Andrade Rinaldi,,Antropologia
Conectivos e conexão de orações,UFF,Ivo da Costa do Rosário,Milena Torres de Aguiar,Lingüística
CONES: epistemologias não-cartesianas em humanidades e artes,UFBA,Denise Maria Barreto Coutinho,,Psicologia
CONESAT: Monitorando o CONESUL com Sensoriamento Remoto,UFSM,Fábio Marcelo Breunig,,Geociências
"Conex.lab - Comunicação, Consumo, Subjetividade, Sociabilidade",ESPM,Gisela Grangeiro da Silva Castro,,Comunicação
Conexão Bruxelas | Grupo de Estudo sobre Europa e União Europeia,UFU,Filipe Prado Macedo da Silva,,Ciência Política
CONEXÕES CONTABEIS,UFMA,Maria Eugenia Rodrigues Araujo,,Administração
"Conexões em Educação Física - Esporte, Saúde e Práticas Inovadoras",UNISA,Bruno de Oliveira Pinheiro,,Educação Física
"CONEXÕES EM ENSINO, PESQUISA E EXTENSÃO - CEPEX",IFPR,Mariana Ciminelli Maranho,,Educação
Conexões: Estudos e Pesquisas em Educação e Tecnologia,UNESA,Jaciara de Sá Carvalho,,Educação
"CONEXÕES: Grupo de Estudos e Pesquisas em Educação, Cultura Digital e Inovação",UTP,Eduardo Fofonca,,Educação
CONEXÕES: Produção de Conhecimento e Ensino,UNEB,Geovani de Jesus Silva,Kátia Caroline Souza Ferreira,Educação
Conferências Internacionais de Instrução Pública,UFRN,Fabio Marques de Oliveira Neto,,Educação
Confiabilidade em Dispositivos e Circuitos Eletrônicos,FEI,Rodrigo Trevisoli Doria,,Engenharia Elétrica
Configurações da Literatura Contemporânea e Estudos Culturais,UEMA,Linda Maria de Jesus Bertolino,,Letras
"Configurações do trabalho de saúde e enfermagem: processos, redes sociais e formação - REDENF UERJ",UERJ,Magda Guimarães de Araujo Faria,Helena Maria Scherlowski Leal David,Enfermagem
Configurações Institucionais e Relações de Trabalho,UFRJ,Sayonara Grillo,,Direito
"Conflito, Cidadania e Direitos Humanos",URI,Joao Martins Bertaso,Charlise Paula Colet Gimenez,Direito
"Conflitos armados, massacres e genocídios na era contemporânea",UNIFESP,Rodrigo Medina Zagni,Rogerio do Nascimento Carvalho,História
"CONFLITOS SOCIAIS, DESIGUALDADES E MEIO AMBIENTE",UFF,Napoleão Miranda,Cláudio Ribeiro Lopes,Sociologia
"Conflitos Socioambientais, Comunicação e Resistências",UFPA,Rosane Maria Albino Steinbrenner,Guilherme Imbiriba Guerreiro Neto,Comunicação
"Conflitos: administração, processo e a paz",UFPA,Sandoval Alves da Silva,,Direito
Confluência: terreiro de artes gráficas,UFJF,Priscilla Danielle Gonçalves de Paula,,Artes
CONFLUÊNCIAS,UFPA,Telma Amaral Gonçalves,,Antropologia
"Confluências da Ficção, História e Memória na Literatura e nas Diversas Linguagens",UNIOESTE,Maricelia Nunes dos Santos,Lourdes Kaminski Alves,Letras
"CONFLUÊNCIAS: diálogos entre Literatura, História e Memórias",UFPA,José Valtemir Ferreira da Silva,,Letras
Conforto Ambiental,UNESP,Carolina Lotufo Bueno-Bartholomei,,Arquitetura e Urbanismo
Conforto Ambiental da EAUFMG,UFMG,Roberta Vieira Gonçalves de Souza,Eleonora Sad de Assis,Arquitetura e Urbanismo
Conforto Ambiental e Eficiência Energética,UFRN,Virgínia Maria Dantas de Araújo,Aldomar Pedrini,Arquitetura e Urbanismo
Conforto Ambiental e Eficiência Energética em Edificações,UEL,Thalita Gorban Ferreira Giglio,,Engenharia Civil
Conforto Ambiental e Eficiência Energética nas Edificações e no Meio Urbano,UFPB,Solange Maria Leder,,Arquitetura e Urbanismo
Conforto ambiental e eficiência energética no ambiente construído,UFS,Carla Fernanda Barbosa Teixeira,,Arquitetura e Urbanismo
Conforto Ambiental e Eficiência Energética no Ambiente Construído,UNIFAP,Ivanize Claudia dos Santos e Silva,Jamil José Salim Neto,Arquitetura e Urbanismo
"Conforto Ambiental, Eficiência Energética e Sustentabilidade no Edifício e na Cidade",MACKENZIE,Loyde Vieira de Abreu-Harbich,Erika Ciconelli de Figueiredo Risso,Arquitetura e Urbanismo
"Conforto, Eficiência e Segurança no Trabalho",UFPB,Luiz Bueno da Silva,Antonio Souto Coutinho,Engenharia de Produção
"Conforto, Patrimônio, Habitação e Paisagem",UCP,Erika Pereira Machado,,Arquitetura e Urbanismo
Conhecer e Superar,UFMG,Cristiane Miryam Drumond de Brito,Ricardo Alexandre de Souza,Fisioterapia e Terapia Ocupacional
Conhecimento e AplicaÃ§Ã£o de Bambus e Fibras Naturais - CAB,UnB,Jaime Gonçalves de Almeida,Anderson Marcos de Souza,Arquitetura e Urbanismo
Conhecimento e Direito,UFPA,Noemi Sakiara Miyasaka Porro,,Antropologia
Conhecimento e Produção Científica em Educação,UFSCAR,Carlos Roberto Massao Hayashi,Maria Cristina Piumbato Innocentini Hayashi,Educação
Conhecimento e Sustentabilidade Organizacional - CSO,UTFPR,Faimara do Rocio Strauhs,,Sociologia
Conhecimento e Tecnologias Inovativas para o Desenvolvimento Regional da Amazônia,IFPA,Dayan Rios Pereira,,Economia
Conhecimento em Contabilidade e Administração,UFU,Josilene da Silva Barbosa,,Administração
