"rank","journalname","jcryear","abbrjournal","issn","eissn","totalcites","totalarticles","citableitems","citedhalflife","citinghalflife","jif2019","url_revista"
"9693","QUEST","2023","QUEST","0033-6297","1543-2750","1748","22","28","11.7","9.0","1.6",
"9693","Communication & Society-Spain","2023","COMMUN SOC-SPAIN","2386-7876","2386-7876","663","55","56","4.1","7.1","1.6",
"9693","Journal of PeriAnesthesia Nursing","2023","J PERIANESTH NURS","1089-9472","1532-8473","1529","108","123","4.5","6.9","1.6",
"9693","Journal of Social Work in End-of-Life & Palliative Care","2023","J SOC WORK END-LIFE","1552-4256","1552-4264","484","20","22","7.2","6.9","1.6",
"9693","Sport Management Education Journal","2023","SPORT MANAG EDUC J","1938-6974","2163-2367","285","17","20","5.7","7.6","1.6",
"9693","BMC Surgery","2023","BMC SURG","N/A","1471-2482","4455","351","371","3.9","7.3","1.6",
"9693","JOURNAL OF NURSING EDUCATION","2023","J NURS EDUC","0148-4834","1938-2421","3471","100","109","7.8","5.5","1.6",
"9693","Brock Education-A Journal of Educational Research and Practice","2023","BROCK EDUC","1183-1189","1183-1189","136","8","8","5.9","8.0","1.6",
"9693","Child & Family Social Work","2023","CHILD FAM SOC WORK","1356-7500","1365-2206","2629","122","127","6.8","8.2","1.6",
"9693","International Journal of Medical Education","2023","INT J MED EDUC","2042-6372","2042-6372","2179","20","21","10.8","8.2","1.6",
"9693","JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS","2023","J CONTIN EDUC HEALTH","0894-1912","1554-558X","1622","38","51","11.0","8.5","1.6",
"9693","KNEE","2023","KNEE","0968-0160","1873-5800","5610","161","180","7.7","8.3","1.6",
"9693","NONLINEARITY","2023","NONLINEARITY","0951-7715","1361-6544","6677","230","230","9.6","14.8","1.6",
"9693","Reflective Practice","2023","REFLECT PRACT","1462-3943","1470-1103","1438","43","43","8.3","9.4","1.6",
"9693","Information and Learning Sciences","2023","INFORM LEARN SCI","2398-5348","2398-5356","599","39","43","3.6","5.1","1.6",
"9693","INTERNATIONAL MIGRATION","2023","INT MIGR","0020-7985","1468-2435","3016","65","66","8.1","7.6","1.6",
"9693","Journal of Sexual Aggression","2023","J SEX AGGRESS","1355-2600","1742-6545","759","26","28","8.3","10.0","1.6",
"9693","Language Cognition and Neuroscience","2023","LANG COGN NEUROSCI","2327-3798","2327-3801","1882","62","63","5.5","12.5","1.6",
"9693","Surveillance & Society","2023","SURVEILL SOC","1477-7487","1477-7487","1342","35","35","9.2","6.5","1.6",
"9693","COMPUTATIONAL OPTIMIZATION AND APPLICATIONS","2023","COMPUT OPTIM APPL","0926-6003","1573-2894","3171","95","95","9.6","11.6","1.6",
"9693","Facial Plastic Surgery & Aesthetic Medicine","2023","FACIAL PLAST SURG AE","2689-3614","2689-3622","616","87","95","2.9","7.6","1.6",
"9693","Global Public Policy and Governance","2023","GLOB PUBLIC POLICY G","2730-6291","2730-6305","91","18","19","N/A","8.1","1.6",
"9693","Innovation-The European Journal of Social Science Research","2023","INNOVATION-ABINGDON","1351-1610","1469-8412","1012","44","48","6.7","8.1","1.6",
"9693","INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY","2023","INT J GYNECOL PATHOL","0277-1691","1538-7151","2780","72","85","9.1","8.1","1.6",
"9693","JOURNAL OF APPLIED POULTRY RESEARCH","2023","J APPL POULTRY RES","1056-6171","1537-0437","3335","74","74","10.7","10.4","1.6",
"9693","WILDLIFE RESEARCH","2023","WILDLIFE RES","1035-3712","1448-5494","3442","77","80","11.8","11.5","1.6",
"9693","Alternative-An International Journal of Indigenous Peoples","2023","ALTERNATIVE","1177-1801","1174-1740","898","76","80","5.6","9.0","1.6",
"9693","Counselling Psychology Quarterly","2023","COUNS PSYCHOL Q","0951-5070","1469-3674","1132","38","38","7.6","9.6","1.6",
"9693","JOURNAL OF AMERICAN COLLEGE HEALTH","2023","J AM COLL HEALTH","0744-8481","1940-3208","6135","215","222","4.9","7.0","1.6",
"9693","Multidisciplinary Journal for Education Social and Technological Sciences","2023","MULTIDISCIP J EDUC S","2341-2593","2341-2593","84","12","13","N/A","6.6","1.6",
"9693","AREA","2023","AREA","0004-0894","1475-4762","3030","50","50","9.9","6.5","1.6",
"9693","Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie","2023","CAN J OCCUP THER","0008-4174","1911-9828","1418","33","36","12.9","8.0","1.6",
"9693","Criminology & Criminal Justice","2023","CRIMINOL CRIM JUSTIC","1748-8958","1748-8966","1254","66","68","6.2","9.0","1.6",
"9693","Critical Studies on Terrorism","2023","CRIT STUD TERROR","1753-9153","1753-9161","670","30","31","6.0","9.9","1.6",
"9693","SIAM Journal on Applied Algebra and Geometry","2023","SIAM J APPL ALGEBR G","2470-6566","2470-6566","302","32","32","4.4","13.8","1.6",
"9693","BRITISH POULTRY SCIENCE","2023","BRIT POULTRY SCI","0007-1668","1466-1799","5388","70","72","14.8","9.0","1.6",
"9693","CURRICULUM INQUIRY","2023","CURRICULUM INQ","0362-6784","1467-873X","1092","12","12","10.9","10.0","1.6",
"9693","Du Bois Review-Social Science Research on Race","2023","DU BOIS REV","1742-058X","1742-0598","1413","17","18","10.7","13.3","1.6",
"9693","JOURNAL OF VERTEBRATE PALEONTOLOGY","2023","J VERTEBR PALEONTOL","0272-4634","1937-2809","5470","67","68","13.9","17.1","1.6",
"9693","Videosurgery and Other Miniinvasive Techniques","2023","VIDEOSURGERY MINIINV","1895-4588","2299-0054","839","60","72","4.1","6.3","1.6",
"9693","AMERICAN POLITICS RESEARCH","2023","AM POLIT RES","1532-673X","1552-3373","1606","47","47","7.8","9.0","1.6",
"9693","Archives Animal Breeding","2023","ARCH ANIM BREED","0003-9438","2363-9822","647","42","42","4.4","11.2","1.6",
"9693","HSS Journal","2023","HSS J","1556-3316","1556-3324","1297","84","100","5.9","7.8","1.6",
"9693","Journal for Labour Market Research","2023","J LABOUR MARK RES","2510-5019","2510-5027","424","32","32","7.0","9.9","1.6",
"9693","Journal of Education Culture and Society","2023","J EDUC CULT SOC","N/A","2081-1640","442","78","78","1.9","7.1","1.6",
"9693","AGRICULTURAL AND FOREST ENTOMOLOGY","2023","AGR FOREST ENTOMOL","1461-9555","1461-9563","1723","55","55","10.5","10.6","1.6",
"9693","Australian Social Work","2023","AUST SOC WORK","0312-407X","1447-0748","1096","33","35","6.7","6.7","1.6",
"9693","Frontiers in Surgery","2023","FRONT SURG","2296-875X","2296-875X","5993","931","1153","2.0","7.5","1.6",
"9693","JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE","2023","J ASSOC NURSE AIDS C","1055-3290","1552-6917","1302","45","49","7.0","6.0","1.6",
"9693","Journal of Public Procurement","2023","J PUBLIC PROCUR","1535-0118","2150-6930","390","18","19","6.4","7.2","1.6",
"9693","Journal of Women Politics & Policy","2023","J WOMEN POLIT POLICY","1554-477X","1554-4788","530","33","33","6.1","9.2","1.6",
"9693","PHYSIOTHERAPY THEORY AND PRACTICE","2023","PHYSIOTHER THEOR PR","0959-3985","1532-5040","3423","130","138","4.3","8.0","1.6",
"9693","Primary Health Care Research and Development","2023","PRIM HEALTH CARE RES","1463-4236","1477-1128","1485","60","71","5.2","6.9","1.6",
"9693","Australian Occupational Therapy Journal","2023","AUST OCCUP THER J","0045-0766","1440-1630","1710","39","50","8.6","7.3","1.6",
"9693","Nordic Journal of Music Therapy","2023","NORD J MUSIC THER","0809-8131","1944-8260","470","18","19","6.2","9.2","1.6",
"9693","ACSMS HEALTH & FITNESS JOURNAL","2023","ACSMS HEALTH FIT J","1091-5397","1536-593X","645","61","64","5.7","7.1","1.6",
"9693","BJUI Compass","2023","BJUI COMPASS","2688-4526","2688-4526","259","100","118","1.9","7.3","1.6",
"9693","FETAL DIAGNOSIS AND THERAPY","2023","FETAL DIAGN THER","1015-3837","1421-9964","2713","63","68","8.9","10.1","1.6",
"9693","Geotechnical Research","2023","GEOTECH RES","2052-6156","2052-6156","284","13","13","4.7","7.9","1.6",
"9693","OPTIMIZATION","2023","OPTIMIZATION","0233-1934","1029-4945","3145","129","129","5.9","11.5","1.6",
"9693","Public Organization Review","2023","PUBLIC ORGAN REV","1566-7170","1573-7098","839","51","53","4.7","7.5","1.6",
"9693","Research in Psychotherapy-Psychopathology Process and Outcome","2023","RES PSYCHOTHER-PSYCH","2239-8031","2239-8031","317","28","30","4.0","9.3","1.6",
"9693","SMALL RUMINANT RESEARCH","2023","SMALL RUMINANT RES","0921-4488","1879-0941","7402","177","182","11.4","10.8","1.6",
"9693","STATISTICS AND COMPUTING","2023","STAT COMPUT","0960-3174","1573-1375","6486","141","141","13.4","11.4","1.6",
"9693","BIT NUMERICAL MATHEMATICS","2023","BIT","0006-3835","1572-9125","2184","57","57","17.2","12.5","1.6",
"9693","Journal of Manual & Manipulative Therapy","2023","J MAN MANIP THER","1066-9817","2042-6186","1165","35","44","11.5","9.1","1.6",
"9693","Journal of Politics in Latin America","2023","J POLITICS LAT AM","1866-802X","1868-4890","324","15","15","7.4","8.4","1.6",
"9693","REPRODUCTION IN DOMESTIC ANIMALS","2023","REPROD DOMEST ANIM","0936-6768","1439-0531","5738","161","184","9.2","10.3","1.6",
"9693","Social Justice Research","2023","SOC JUSTICE RES","0885-7466","1573-6725","1477","21","22","15.8","14.0","1.6",
"9693","Qualitative Report","2023","QUAL REP","1052-0147","2160-3715","5295","176","190","8.6","8.7","1.6",
"9693","Apunts Educacion Fisica y Deportes","2023","APUNT EDUC FIS DEPOR","1577-4015","2014-0983","641","34","43","5.5","7.3","1.6",
"9693","INDUSTRIAL RELATIONS JOURNAL","2023","IND RELAT J","0019-8692","1468-2338","597","27","27","7.6","10.5","1.6",
"9693","OPTOMETRY AND VISION SCIENCE","2023","OPTOMETRY VISION SCI","1040-5488","1538-9235","7208","105","112","11.6","9.9","1.6",
"9693","Scandinavian Actuarial Journal","2023","SCAND ACTUAR J","0346-1238","1651-2030","1023","34","34","7.4","9.5","1.6",
"9693","STATISTICAL METHODS IN MEDICAL RESEARCH","2023","STAT METHODS MED RES","0962-2802","1477-0334","7594","123","129","6.9","11.4","1.6",
"9693","JOURNAL OF FAMILY ISSUES","2023","J FAM ISSUES","0192-513X","1552-5481","5146","121","123","9.5","10.5","1.6",
"9693","Audiology and Neurotology","2023","AUDIOL NEUROTOL","1420-3030","1421-9700","2210","42","50","10.7","10.4","1.6",
"9693","Journal of Aggression Maltreatment & Trauma","2023","J AGGRESS MALTREAT T","1092-6771","1545-083X","2153","68","69","6.8","8.9","1.6",
"9693","Journal of Anthropological Sciences","2023","J ANTHROPOL SCI","1827-4765","2037-0644","327","5","6","8.1","17.5","1.6",
"9693","Monash Bioethics Review","2023","MONASH BIOETH REV","1321-2753","1836-6716","225","11","11","4.4","9.9","1.6",
"9693","PHYSIOLOGICAL ENTOMOLOGY","2023","PHYSIOL ENTOMOL","0307-6962","1365-3032","1847","17","19","18.8","12.3","1.6",
"9693","Politics Philosophy & Economics","2023","POLIT PHILOS ECON","1470-594X","1741-3060","495","29","29","9.4","11.4","1.6",
"9693","Australasian Accounting Business and Finance Journal","2023","AUSTRALAS ACCOUNT BU","1834-2000","1834-2019","625","55","56","4.7","9.1","1.6",
"9693","Clinical Spine Surgery","2023","CLIN SPINE SURG","2380-0186","2380-0186","2554","128","149","5.0","8.0","1.6",
"9693","Journal of Child and Family Studies","2023","J CHILD FAM STUD","1062-1024","1573-2843","8941","226","238","6.5","10.1","1.6",
"9693","Journal of Information Communication & Ethics in Society","2023","J INF COMMUN ETHICS","1477-996X","1758-8871","453","24","27","4.7","5.6","1.6",
"9693","Journal of Patient-Centered Research and Reviews","2023","J PATIENT-CENTER RES","2330-068X","2330-0698","337","21","23","3.8","7.5","1.6",
"9693","PLANT PRODUCTION SCIENCE","2023","PLANT PROD SCI","1343-943X","1349-1008","2050","31","31","10.1","10.8","1.6",
"9693","Australasian Journal of Early Childhood","2023","AUST J EARLY CHILD","1836-9391","1839-5961","866","25","25","8.9","6.6","1.6",
"9693","CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH","2023","CHILDHOOD","0907-5682","1461-7013","1704","27","27","11.0","8.5","1.6",
"9693","JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH","2023","J OBSTET GYNAECOL RE","1341-8076","1447-0756","6301","246","279","5.9","7.4","1.6",
"9693","JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS","2023","J OPTIMIZ THEORY APP","0022-3239","1573-2878","7598","207","207","13.1","11.2","1.6",
"9693","AIDS EDUCATION AND PREVENTION","2023","AIDS EDUC PREV","0899-9546","1943-2755","1243","39","42","11.2","5.9","1.6",
"9693","Cogent Psychology","2023","COGENT PSYCHOL","2331-1908","2331-1908","1039","64","68","4.7","9.3","1.6",
"9693","International Journal of Dental Hygiene","2023","INT J DENT HYG","1601-5029","1601-5037","1472","87","100","6.2","10.0","1.6",
"9693","JOURNAL OF COLLEGE STUDENT DEVELOPMENT","2023","J COLL STUDENT DEV","0897-5264","1543-3382","3537","48","48","12.7","8.5","1.6",
"9693","JOURNAL OF PAEDIATRICS AND CHILD HEALTH","2023","J PAEDIATR CHILD H","1034-4810","1440-1754","5641","128","145","7.1","6.9","1.6",
"9693","MATHEMATICAL FINANCE","2023","MATH FINANC","0960-1627","1467-9965","2204","52","52","16.9","9.1","1.6",
"9693","Psyche-A Journal of Entomology","2023","PSYCHE-J ENTOMOL","0033-2615","1687-7438","323","7","7","11.9","7.0","1.6",
"9693","Dermatopathology","2023","DERMATOPATHOL-BASEL","2296-3529","2296-3529","287","28","36","2.7","8.7","1.6",
"9693","ECOLOGY OF FRESHWATER FISH","2023","ECOL FRESHW FISH","0906-6691","1600-0633","2328","61","62","10.9","13.1","1.6",
"9693","European Endodontic Journal","2023","EUR ENDOD J","2548-0839","2548-0839","418","30","35","3.5","10.5","1.6",
"9693","HUMAN MOVEMENT SCIENCE","2023","HUM MOVEMENT SCI","0167-9457","1872-7646","5486","74","75","9.9","12.3","1.6",
"9693","International Journal of Occupational Safety and Ergonomics","2023","INT J OCCUP SAF ERGO","1080-3548","2376-9130","2318","33","37","3.9","9.6","1.6",
"9693","International Journal of Older People Nursing","2023","INT J OLDER PEOPLE N","1748-3735","1748-3743","1203","45","57","5.4","6.9","1.6",
"9693","Knowledge and Management of Aquatic Ecosystems","2023","KNOWL MANAG AQUAT EC","1961-9502","1961-9502","978","25","25","7.6","11.8","1.6",
"9693","PLASMA SCIENCE & TECHNOLOGY","2023","PLASMA SCI TECHNOL","1009-0630","2058-6272","2927","198","199","5.3","9.1","1.6",
"9693","Science Editing","2023","SCI EDIT","2288-7474","2288-8063","271","18","22","4.2","4.2","1.6",
"9693","Womens Health Reports","2023","WOMENS HEALTH REP","N/A","2688-4844","407","67","71","2.2","6.9","1.6",
"9693","Applied Radiation and Isotopes","2023","APPL RADIAT ISOTOPES","0969-8043","1872-9800","9886","410","413","9.3","9.6","1.6",
"9693","Geriatric Orthopaedic Surgery & Rehabilitation","2023","GERIATR ORTHOP SURG","2151-4585","2151-4593","1125","39","49","5.1","7.2","1.6",
"9693","INTERNATIONAL JOURNAL OF MASS SPECTROMETRY","2023","INT J MASS SPECTROM","1387-3806","1873-2798","6158","84","86","13.6","10.9","1.6",
"9693","TRANSITION METAL CHEMISTRY","2023","TRANSIT METAL CHEM","0340-4285","1572-901X","1894","44","44","14.6","8.9","1.6",
"9693","Action Research","2023","ACTION RES-LONDON","1476-7503","1741-2617","865","24","24","8.5","10.3","1.6",
"9693","Anthropocene Coasts","2023","ANTHROPOCENE COASTS","N/A","2561-4150","209","14","15","4.1","8.7","1.6",
"9693","BEHAVIORAL NEUROSCIENCE","2023","BEHAV NEUROSCI","0735-7044","1939-0084","4640","27","27","18.3","11.8","1.6",
"9693","Journal of Ophthalmic & Vision Research","2023","J OPHTHAL VIS RES","2008-2010","2008-322X","1336","48","54","6.3","8.6","1.6",
"9693","Obstetrics and Gynecology International","2023","OBSTET GYNECOL INT","1687-9589","1687-9597","833","16","17","8.9","6.1","1.6",
"9693","Spine Deformity","2023","SPINE DEFORM","2212-134X","2212-1358","2147","137","151","4.2","8.4","1.6",
"9693","Anesthesiology Research and Practice","2023","ANESTHESIOL RES PRAC","1687-6962","1687-6970","460","14","17","7.2","8.7","1.6",
"9693","IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION","2023","IMA J MATH CONTROL I","0265-0754","1471-6887","904","35","35","5.9","9.1","1.6",
"9693","Journal of Cognition and Development","2023","J COGN DEV","1524-8372","1532-7647","1648","38","39","9.4","10.4","1.6",
"9693","ONCOLOGY NURSING FORUM","2023","ONCOL NURS FORUM","0190-535X","1538-0688","3670","47","56","10.2","6.6","1.6",
"9693","Transnational Corporations Review","2023","TRANSNATL CORP REV","1918-6444","1925-2099","509","11","11","3.8","9.5","1.6",
"9693","Asian Journal of Agriculture and Biology","2023","ASIAN J AGR BIOL","2307-8553","2307-8553","376","40","42","3.7","8.6","1.6",
"9693","Current Anesthesiology Reports","2023","CURR ANESTHESIOL REP","N/A","2167-6275","475","44","54","3.7","6.6","1.6",
"9693","HIGH ALTITUDE MEDICINE & BIOLOGY","2023","HIGH ALT MED BIOL","1527-0297","1557-8682","1529","37","41","9.4","9.4","1.6",
"9693","JOURNAL OF CONTEMPORARY ETHNOGRAPHY","2023","J CONTEMP ETHNOGR","0891-2416","1552-5414","1511","20","20","14.8","10.9","1.6",
"9693","Behavior and Social Issues","2023","BEHAV SOC ISSUES","1064-9506","2376-6786","362","30","33","5.3","9.6","1.6",
"9693","Health Services and Outcomes Research Methodology","2023","HEALTH SERV OUTCOME","1387-3741","1572-9400","592","21","22","9.2","8.0","1.6",
"9693","Health Services Management Research","2023","HEALTH SERV MANAG RE","0951-4848","1758-1044","571","23","27","6.5","8.6","1.6",
"9693","IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION","2023","IEEE T PROF COMMUN","0361-1434","1558-1500","1018","22","23","9.5","8.5","1.6",
"9693","JOURNAL OF CUTANEOUS PATHOLOGY","2023","J CUTAN PATHOL","0303-6987","1600-0560","4277","158","174","9.0","9.0","1.6",
"9693","JOURNAL OF DAIRY RESEARCH","2023","J DAIRY RES","0022-0299","1469-7629","3510","52","53","14.0","9.9","1.6",
"9693","CHILD NEUROPSYCHOLOGY","2023","CHILD NEUROPSYCHOL","0929-7049","1744-4136","2721","46","53","10.6","10.0","1.6",
"9693","Critical Finance Review","2023","CRIT FINANC REV","2164-5744","2164-5760","271","10","10","6.7","20.2","1.6",
"9693","Cutaneous and Ocular Toxicology","2023","CUTAN OCUL TOXICOL","1556-9527","1556-9535","1007","44","49","7.1","9.6","1.6",
"9693","International Journal of System Assurance Engineering and Management","2023","INT J SYST ASSUR ENG","0975-6809","0976-4348","2566","340","362","3.2","6.3","1.6",
"9693","KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY","2023","KOREAN J PHYSIOL PHA","1226-4512","2093-3827","1431","48","51","7.3","6.3","1.6",
"9693","Minerva Obstetrics and Gynecology","2023","MINERVA OBSTET GYNEC","2724-606X","2724-6450","317","75","102","2.1","7.9","1.6",
"9693","NEUROGENETICS","2023","NEUROGENETICS","1364-6745","1364-6753","1132","29","30","10.1","7.1","1.6",
"9693","NJAS-Impact in Agricultural and Life Sciences","2023","NJAS-IMP AGR LIFE SC","N/A","2768-5241","40","21","21","N/A","7.1","1.6",
"9693","Agrekon","2023","AGREKON","0303-1853","2078-0400","597","20","20","7.5","8.6","1.6",
"9693","Anaesthesiology Intensive Therapy","2023","ANAESTH INTENSIVE TH","1642-5758","1731-2531","853","36","41","6.0","7.5","1.6",
"9693","EUPHYTICA","2023","EUPHYTICA","0014-2336","1573-5060","11323","118","124","13.8","10.1","1.6",
"9693","Frontiers in Health Services","2023","FRONT HEALTH SERV","N/A","2813-0146","278","137","153","1.4","6.2","1.6",
"9693","German Journal of Exercise and Sport Research","2023","GER J EXERC SPORT RE","2509-3142","2509-3150","535","40","46","3.9","7.6","1.6",
"9693","HOLOCENE","2023","HOLOCENE","0959-6836","1477-0911","6597","109","111","10.7","12.8","1.6",
"9693","International Journal of Applied Mathematics and Computer Science","2023","INT J AP MAT COM-POL","1641-876X","2083-8492","1085","48","48","8.7","7.3","1.6",
"9693","JOURNAL OF EMPLOYMENT COUNSELING","2023","J EMPLOYMENT COUNS","0022-0787","2161-1920","456","14","15","10.7","7.6","1.6",
"9693","MARINE GEOPHYSICAL RESEARCH","2023","MAR GEOPHYS RES","0025-3235","1573-0581","1461","25","25","12.4","13.5","1.6",
"9693","SOCIAL DEVELOPMENT","2023","SOC DEV","0961-205X","1467-9507","3700","59","61","12.7","10.8","1.6",
"9693","GENETIC RESOURCES AND CROP EVOLUTION","2023","GENET RESOUR CROP EV","0925-9864","1573-5109","4930","280","293","9.6","10.3","1.6",
"9693","International Journal of Sports Physical Therapy","2023","INT J SPORTS PHYS TH","2159-2896","2159-2896","2782","103","121","6.9","8.5","1.6",
"9693","Journal of Agricultural and Applied Economics","2023","J AGRIC APPL ECON","1074-0708","2056-7405","953","60","60","11.5","9.0","1.6",
"9693","Journal of Public Health Research","2023","J PUBLIC HEALTH RES","2279-9028","2279-9036","1279","99","112","3.3","6.7","1.6",
"9693","Medical Mycology Case Reports","2023","MED MYCOL CASE REP","2211-7539","2211-7539","652","49","52","4.6","7.5","1.6",
"9693","SPORT PSYCHOLOGIST","2023","SPORT PSYCHOL","0888-4781","1543-2793","1865","30","30","15.3","8.6","1.6",
"9693","ACTA CYTOLOGICA","2023","ACTA CYTOL","0001-5547","1938-2650","2188","40","46","11.9","8.7","1.6",
"9693","AGING NEUROPSYCHOLOGY AND COGNITION","2023","AGING NEUROPSYCHOL C","1382-5585","1744-4128","1655","31","31","8.5","11.8","1.6",
"9693","AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","2023","AM J MED GENET B","1552-4841","1552-485X","2905","19","27","11.0","7.5","1.6",
"9693","Anatolia-International Journal of Tourism and Hospitality Research","2023","ANATOLIA","1303-2917","2156-6909","1350","40","42","5.2","6.2","1.6",
"9693","Interactive Cardiovascular and Thoracic Surgery","2023","INTERACT CARDIOV TH","1569-9293","1569-9285","6066","0","0","7.2","N/A","1.6",
"9693","Journal of Emerging Technologies in Accounting","2023","J EMERG TECHNOL ACCO","1554-1908","1558-7940","636","28","29","5.5","6.0","1.6",
"9693","OSA Continuum","2023","OSA CONTINUUM","N/A","2578-7519","1439","0","0","3.6","N/A","1.6",
"9693","TEXTILE RESEARCH JOURNAL","2023","TEXT RES J","0040-5175","1746-7748","9781","234","273","10.1","6.4","1.6",
"9693","BEHAVIOURAL PHARMACOLOGY","2023","BEHAV PHARMACOL","0955-8810","1473-5849","2290","46","48","10.7","10.1","1.6",
"9693","Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery","2023","INNOVATIONS","1556-9845","1559-0879","1265","75","83","6.0","6.3","1.6",
"9693","Journal of Behavioral and Experimental Economics","2023","J BEHAV EXP ECON","2214-8043","2214-8051","1538","134","137","4.6","11.1","1.6",
"9693","JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS","2023","J CLIN PSYCHOL MED S","1068-9583","1573-3572","1679","44","49","6.4","8.6","1.6",
"9693","Journal of Wine Economics","2023","J WINE ECON","1931-4361","1931-437X","566","21","21","7.6","9.0","1.6",
"9693","NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW","2023","NETH J GEOSCI","0016-7746","1573-9708","587","9","11","10.2","12.3","1.6",
"9693","PHYCOLOGICAL RESEARCH","2023","PHYCOL RES","1322-0829","1440-1835","900","24","24","10.4","13.6","1.6",
"9693","Sport Ethics and Philosophy","2023","SPORT ETHICS PHILOS","1751-1321","1751-133X","525","40","40","4.8","9.0","1.6",
"9693","BOTANICA MARINA","2023","BOT MAR","0006-8055","1437-4323","2400","39","45","15.1","12.8","1.6",
"9693","COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING","2023","COMB CHEM HIGH T SCR","1386-2073","1875-5402","2220","187","233","5.7","7.2","1.6",
"9693","DEFENCE AND PEACE ECONOMICS","2023","DEFENCE PEACE ECON","1024-2694","1476-8267","1437","46","46","6.7","9.9","1.6",
"9693","Journal of Optics-India","2023","J OPT-INDIA","0972-8821","0974-6900","1349","470","479","2.2","5.7","1.6",
"9693","MYCOBIOLOGY","2023","MYCOBIOLOGY","1229-8093","2092-9323","1856","49","51","8.4","10.4","1.6",
"9693","Occupational Health Science","2023","OCCUP HEALTH SCI","2367-0134","2367-0142","299","28","30","3.7","9.6","1.6",
"9693","PHLEBOLOGY","2023","PHLEBOLOGY","0268-3555","1758-1125","1880","90","97","7.1","8.8","1.6",
"9693","PLANT BIOSYSTEMS","2023","PLANT BIOSYST","1126-3504","1724-5575","2897","108","108","7.1","11.6","1.6",
"9693","Spatial Cognition and Computation","2023","SPAT COGN COMPUT","1387-5868","1542-7633","473","6","7","9.6","14.0","1.6",
"9693","Urban Policy and Research","2023","URBAN POLICY RES","0811-1146","1476-7244","856","9","14","8.4","7.4","1.6",
"9693","ARTIFICIAL LIFE","2023","ARTIF LIFE","1064-5462","1530-9185","839","23","23","13.2","11.0","1.6",
"9693","Cardiovascular Revascularization Medicine","2023","CARDIOVASC REVASCULA","1553-8389","1878-0938","2555","176","194","3.7","6.5","1.6",
"9693","CEREAL RESEARCH COMMUNICATIONS","2023","CEREAL RES COMMUN","0133-3720","1788-9170","1701","120","129","7.9","10.1","1.6",
"9693","Facilities","2023","FACILITIES","0263-2772","1758-7131","1587","58","63","7.6","6.7","1.6",
"9693","International Journal of Reproductive Biomedicine","2023","INT J REPROD BIOMED","2476-4108","2476-3772","1420","75","90","5.1","5.6","1.6",
"9693","JOURNAL OF ADDICTIVE DISEASES","2023","J ADDICT DIS","1055-0887","1545-0848","1350","38","47","8.7","7.2","1.6",
"9693","Journal of Biomedical Semantics","2023","J BIOMED SEMANT","2041-1480","2041-1480","728","20","21","7.2","7.4","1.6",
"9693","PERCEPTION","2023","PERCEPTION","0301-0066","1468-4233","4711","55","55","16.9","14.0","1.6",
"9693","Urban Water Journal","2023","URBAN WATER J","1573-062X","1744-9006","3075","91","98","6.8","6.8","1.6",
"9693","Journal of Agriculture Food Systems and Community Development","2023","J AGRIC FOOD SYST CO","2152-0798","2152-0801","909","48","49","5.2","5.9","1.6",
"9693","JOURNAL OF ELDER ABUSE & NEGLECT","2023","J ELDER ABUSE NEGL","0894-6566","1540-4129","586","17","18","8.5","7.7","1.6",
"9693","LIBRARY QUARTERLY","2023","LIBR QUART","0024-2519","1549-652X","660","26","27","10.4","5.9","1.6",
"9693","REVIEW OF SOCIAL ECONOMY","2023","REV SOC ECON","0034-6764","1470-1162","681","20","20","13.5","13.1","1.6",
"9693","Toxicological Research","2023","TOXICOL RES-GER","1976-8257","2234-2753","1336","44","51","7.1","8.1","1.6",
"9693","Animal Reproduction","2023","ANIM REPROD","1806-9614","1984-3143","1192","62","68","5.6","9.2","1.6",
"9693","Canadian Journal of Kidney Health and Disease","2023","CAN J KIDNEY HEALTH","N/A","2054-3581","1052","79","92","4.5","8.2","1.6",
"9693","Earth Interactions","2023","EARTH INTERACT","N/A","1087-3562","921","14","14","11.9","10.4","1.6",
"9693","European Journal of Hospital Pharmacy","2023","EUR J HOSP PHARM","2047-9956","2047-9964","1268","73","78","3.6","7.2","1.6",
"9693","IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE","2023","IEEE INSTRU MEAS MAG","1094-6969","1941-0123","1152","64","64","6.1","5.8","1.6",
